JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed,Study_Efficiency,School_Quality_Index,Engagement_Level,Distance_Barrier
114,5,78,3,14.4,Private,Urban,No,No,Low,Low,787,17,Male,High,Tertiary,1,22.8,1.7999999999999998,3.9,0.06493506493506493
195,22,79,2,6.5,Private,Urban,No,No,High,Low,905,15,Female,Low,Secondary,1,8.863636363636363,1.2,4.95,0.13333333333333333
294,17,100,3,5.1,Private,Urban,Yes,Yes,High,Medium,2946,22,Male,High,Tertiary,2,17.294117647058822,2.1999999999999997,7.0,0.1639344262295082
170,24,87,3,8.8,Public,Urban,Yes,No,Medium,High,3886,16,Female,Medium,Primary,2,7.083333333333333,1.7999999999999998,5.35,0.1020408163265306
203,19,83,2,6.4,Public,Urban,Yes,Yes,High,Low,1425,15,Male,Low,,1,10.68421052631579,1.6,6.15,0.13513513513513511
160,28,86,2,4.8,Public,Urban,No,No,Medium,Low,3649,18,Female,Medium,Tertiary,2,5.714285714285714,1.2,4.3,0.1724137931034483
131,18,100,3,9.3,Public,Urban,Yes,No,Medium,Medium,4608,22,Male,Medium,Primary,1,7.277777777777778,1.7999999999999998,6.0,0.0970873786407767
111,6,98,2,5.5,Private,Urban,Yes,No,Medium,Medium,827,18,Male,Medium,Primary,2,18.5,1.2,5.9,0.15384615384615385
107,4,100,2,1.0,Public,Urban,No,No,Low,Low,538,20,Male,Medium,Secondary,1,26.75,1.2,5.0,0.5
143,24,90,3,8.1,Public,Urban,Yes,Yes,Medium,Medium,3525,15,Male,Medium,Secondary,4,5.958333333333333,2.1999999999999997,5.5,0.10989010989010989
184,10,84,4,17.2,Public,Urban,No,Yes,High,Low,4589,16,Female,High,Tertiary,1,18.4,2.8,5.2,0.054945054945054944
249,13,96,2,10.0,Private,Rural,No,No,Low,Medium,3664,20,Male,Low,Primary,1,19.153846153846153,1.2,4.8,0.09090909090909091
174,11,92,1,3.9,Public,Rural,No,Yes,High,Low,1456,22,Male,Medium,Secondary,1,15.818181818181818,1.0,5.6,0.2040816326530612
198,8,94,2,8.9,Private,Urban,Yes,Yes,Medium,Low,3745,18,Female,Medium,Primary,1,24.75,1.6,5.7,0.10101010101010101
160,28,90,2,13.6,Public,Urban,Yes,Yes,High,Medium,817,22,Male,Low,Secondary,4,5.714285714285714,1.6,6.5,0.0684931506849315
127,12,54,3,14.4,Private,Urban,Yes,No,Low,Low,4071,21,Male,Medium,Primary,1,10.583333333333334,1.7999999999999998,3.7,0.06493506493506493
149,7,79,3,11.2,Public,Urban,No,No,Low,Low,4451,16,Female,Medium,Secondary,1,21.285714285714285,1.7999999999999998,3.95,0.0819672131147541
101,8,81,4,0.0,Public,Rural,No,Yes,Low,Low,4585,19,Male,Low,Secondary,1,12.625,2.8,4.05,1.0
168,9,91,3,6.4,Public,Rural,Yes,No,Medium,Low,1778,20,Female,Low,,1,18.666666666666668,1.7999999999999998,5.55,0.13513513513513511
103,21,88,2,4.1,Public,Rural,Yes,Yes,Low,Low,4533,17,Female,Medium,Secondary,1,4.904761904761905,1.6,5.4,0.19607843137254904
182,20,86,3,10.5,Public,Urban,Yes,Yes,Medium,Low,1394,16,Male,Medium,Secondary,1,9.1,2.1999999999999997,5.3,0.08695652173913043
257,28,99,1,3.7,Private,Urban,Yes,Yes,Low,High,1401,15,Male,High,Tertiary,3,9.178571428571429,1.0,5.95,0.2127659574468085
133,3,90,1,10.4,Public,Urban,Yes,Yes,Medium,High,3283,19,Male,Low,,1,44.333333333333336,1.0,5.5,0.08771929824561403
101,9,97,3,20.0,Public,Urban,No,Yes,High,Low,2464,15,Male,High,Tertiary,1,11.222222222222221,2.1999999999999997,5.85,0.047619047619047616
226,26,79,4,4.7,Public,Rural,No,No,Medium,Medium,2551,17,Male,Medium,Secondary,3,8.692307692307692,2.4,3.95,0.17543859649122806
227,38,82,3,15.6,Public,Urban,No,Yes,Medium,Medium,1217,15,Male,High,Tertiary,3,5.973684210526316,2.1999999999999997,4.1,0.06024096385542168
248,34,100,3,10.0,Public,Urban,Yes,Yes,Low,Medium,1805,19,Female,High,Tertiary,5,7.294117647058823,2.1999999999999997,6.0,0.09090909090909091
134,16,94,1,4.5,Private,Rural,Yes,No,Low,Medium,929,16,Male,Medium,Primary,1,8.375,0.6,5.7,0.18181818181818182
193,28,87,1,12.8,Public,Urban,No,Yes,Medium,Low,516,22,Female,Low,Primary,1,6.892857142857143,1.0,4.35,0.07246376811594203
239,16,94,4,16.4,Public,Rural,No,No,Medium,Medium,3341,18,Female,Low,,3,14.9375,2.4,4.7,0.0574712643678161
154,0,80,4,13.1,Public,Rural,Yes,Yes,Medium,High,3868,20,Male,High,Secondary,1,1540.0,2.8,5.0,0.07092198581560284
129,17,100,2,14.8,Private,Urban,Yes,Yes,Medium,Low,184,15,Female,Low,,1,7.588235294117647,1.6,6.0,0.06329113924050632
143,17,84,3,12.0,Public,Urban,No,Yes,Medium,Medium,4812,15,Male,Low,Secondary,4,8.411764705882353,2.1999999999999997,4.2,0.07692307692307693
118,15,75,3,5.8,Private,Rural,Yes,Yes,High,Low,1502,19,Male,Low,Primary,2,7.866666666666666,2.1999999999999997,5.75,0.14705882352941177
178,32,88,3,9.8,Private,Urban,No,Yes,Medium,Medium,4858,16,Female,Medium,Secondary,2,5.5625,2.1999999999999997,4.4,0.09259259259259259
127,2,80,3,11.7,Public,Urban,No,Yes,Low,High,1645,15,Male,Low,Primary,1,63.5,2.1999999999999997,4.0,0.07874015748031496
130,11,92,2,4.8,Public,Urban,Yes,No,Medium,Medium,4042,22,Female,Low,Secondary,1,11.818181818181818,1.2,5.6,0.1724137931034483
138,21,99,3,16.4,Public,Urban,Yes,Yes,Medium,Medium,3961,19,Female,Medium,Primary,2,6.571428571428571,2.1999999999999997,5.95,0.0574712643678161
174,13,83,3,15.4,Public,Urban,No,No,Medium,Medium,4420,22,Male,High,Primary,2,13.384615384615385,1.7999999999999998,4.15,0.06097560975609757
157,16,100,3,14.5,Private,Urban,Yes,No,Medium,Medium,3156,22,Female,Low,Primary,1,9.8125,1.7999999999999998,6.0,0.06451612903225806
180,10,80,3,16.5,Public,Urban,Yes,Yes,High,Medium,560,15,Female,Low,Primary,1,18.0,2.1999999999999997,6.0,0.05714285714285714
174,19,84,2,12.9,Private,Urban,Yes,Yes,High,Low,2411,18,Male,Low,Secondary,1,9.157894736842104,1.6,6.2,0.07194244604316546
181,40,86,4,0.0,Public,Rural,Yes,Yes,High,Low,1022,16,Male,Low,Primary,3,4.525,2.8,6.3,1.0
136,7,81,2,13.0,Private,Urban,Yes,Yes,Medium,High,4091,20,Female,Low,Primary,1,19.428571428571427,1.6,5.05,0.07142857142857142
225,12,94,4,7.4,Private,Urban,Yes,Yes,High,Medium,2607,20,Female,Medium,,1,18.75,2.8,6.7,0.11904761904761904
102,11,88,2,13.0,Public,Rural,Yes,Yes,Low,Low,2827,15,Female,Low,Secondary,2,9.272727272727273,1.6,5.4,0.07142857142857142
167,6,89,2,4.3,Public,Rural,Yes,Yes,High,Medium,1373,19,Male,Low,,1,27.833333333333332,1.6,6.45,0.18867924528301888
120,19,66,4,19.7,Public,Rural,No,Yes,Medium,Low,943,18,Male,Medium,Secondary,3,6.315789473684211,2.8,3.3,0.04830917874396135
194,24,100,2,7.2,Public,Rural,Yes,Yes,Low,High,248,22,Female,Medium,Primary,2,8.083333333333334,1.6,6.0,0.12195121951219513
119,0,89,2,1.0,Public,Urban,Yes,Yes,Low,Low,2514,22,Male,Medium,Secondary,1,1190.0,1.6,5.45,0.5
178,21,74,2,13.5,Public,Rural,Yes,Yes,Low,Low,2057,20,Male,Medium,Secondary,1,8.476190476190476,1.6,4.7,0.06896551724137931
151,10,91,2,10.3,Public,Urban,No,No,Low,Medium,2767,20,Female,Low,Secondary,2,15.1,1.2,4.55,0.08849557522123894
192,14,75,3,8.2,Private,Urban,Yes,Yes,Medium,Low,4796,22,Male,Medium,,1,13.714285714285714,2.1999999999999997,4.75,0.10869565217391305
169,16,82,2,11.2,Public,Rural,Yes,No,Low,Low,415,21,Male,High,Secondary,3,10.5625,1.2,5.1,0.0819672131147541
160,24,77,2,10.7,Public,Rural,No,Yes,Low,High,2840,17,Male,Medium,,2,6.666666666666667,1.6,3.85,0.08547008547008547
166,18,100,4,14.8,Public,Urban,Yes,Yes,Medium,Low,2515,21,Female,Medium,,1,9.222222222222221,2.8,6.0,0.06329113924050632
118,20,80,2,15.8,Public,Urban,Yes,Yes,Medium,Medium,246,19,Male,Low,,1,5.9,1.6,5.0,0.05952380952380952
132,13,81,3,14.0,Public,Rural,No,Yes,Medium,Medium,220,18,Male,Medium,Tertiary,1,10.153846153846153,2.1999999999999997,4.05,0.06666666666666667
160,2,88,2,7.9,Private,Urban,Yes,Yes,Medium,High,2306,21,Male,Low,Secondary,1,80.0,1.6,5.4,0.11235955056179775
111,15,80,3,0.0,Public,Urban,Yes,Yes,Low,Low,1417,22,Female,Low,Primary,1,7.4,2.1999999999999997,5.0,1.0
178,19,76,2,11.7,Public,Urban,No,Yes,High,Medium,4829,20,Female,High,Tertiary,1,9.368421052631579,1.6,4.8,0.07874015748031496
115,16,77,2,7.3,Public,Rural,Yes,No,Low,Medium,2934,18,Female,High,Primary,1,7.1875,1.2,4.85,0.12048192771084336
192,27,88,3,9.4,Private,Urban,No,Yes,Medium,Low,2910,18,Female,Medium,Secondary,3,7.111111111111111,2.1999999999999997,4.4,0.09615384615384615
180,20,91,3,13.3,Private,Urban,No,No,Medium,Medium,557,18,Male,Low,Tertiary,3,9.0,1.7999999999999998,4.55,0.06993006993006992
130,14,89,4,9.5,Private,Urban,Yes,Yes,Low,Low,272,22,Male,Low,,1,9.285714285714286,2.8,5.45,0.09523809523809523
162,12,77,1,12.3,Public,Rural,Yes,No,Medium,High,2099,22,Male,Low,Secondary,1,13.5,0.6,4.85,0.07518796992481203
151,17,80,2,6.0,Public,Urban,Yes,Yes,Low,Low,4519,19,Female,Low,,1,8.882352941176471,1.6,5.0,0.14285714285714285
117,18,66,3,10.3,Public,Urban,No,Yes,Low,Low,3264,16,Female,Medium,,1,6.5,2.1999999999999997,3.3,0.08849557522123894
105,19,80,1,6.5,Private,Urban,Yes,Yes,Low,Low,476,17,Female,Low,Secondary,1,5.526315789473684,1.0,5.0,0.13333333333333333
160,13,79,1,10.1,Private,Rural,Yes,No,Medium,Medium,4718,22,Male,Low,Primary,1,12.307692307692308,0.6,4.95,0.0900900900900901
128,11,84,3,14.5,Public,Urban,No,No,Low,Medium,1662,16,Male,Low,,1,11.636363636363637,1.7999999999999998,4.2,0.06451612903225806
137,17,82,2,11.7,Public,Rural,Yes,Yes,Medium,Medium,3738,21,Male,Medium,Primary,1,8.058823529411764,1.6,5.1,0.07874015748031496
168,30,74,3,14.4,Public,Urban,No,No,Medium,High,3260,19,Male,Medium,Primary,4,5.6,1.7999999999999998,3.7,0.06493506493506493
185,14,87,4,15.6,Public,Rural,No,Yes,High,Medium,4461,20,Female,Low,Primary,2,13.214285714285714,2.8,5.35,0.06024096385542168
209,37,76,2,17.2,Public,Urban,No,Yes,Medium,High,2988,18,Female,High,Tertiary,4,5.648648648648648,1.6,3.8,0.054945054945054944
213,26,74,3,14.7,Public,Urban,Yes,Yes,Medium,Medium,846,15,Female,High,Secondary,2,8.192307692307692,2.1999999999999997,4.7,0.06369426751592357
139,0,74,2,17.4,Public,Rural,No,No,Medium,Low,2985,21,Male,Low,Tertiary,1,1390.0,1.2,3.7,0.05434782608695653
199,35,96,2,0.0,Public,Urban,No,Yes,Low,Low,1206,18,Female,Low,Primary,3,5.685714285714286,1.6,4.8,1.0
125,15,84,2,17.0,Public,Urban,No,Yes,Medium,High,4598,20,Female,Medium,Tertiary,1,8.333333333333334,1.6,4.2,0.05555555555555555
242,26,100,3,20.0,Private,Urban,Yes,No,High,High,1605,19,Male,Low,Tertiary,3,9.307692307692308,1.7999999999999998,7.0,0.047619047619047616
295,33,95,2,11.4,Public,Urban,Yes,Yes,Low,Medium,2218,20,Female,High,Tertiary,3,8.93939393939394,1.6,5.75,0.08064516129032258
121,14,75,1,7.2,Public,Rural,No,Yes,Medium,Low,2599,15,Male,Low,,2,8.642857142857142,1.0,3.75,0.12195121951219513
132,24,68,2,10.6,Private,Urban,Yes,Yes,Medium,Low,458,22,Male,Low,,1,5.5,1.6,4.4,0.08620689655172414
255,25,100,3,7.5,Public,Urban,Yes,Yes,Medium,Medium,4984,21,Male,Medium,Secondary,4,10.2,2.1999999999999997,6.0,0.11764705882352941
118,13,93,2,6.0,Private,Urban,Yes,No,Medium,Medium,3732,20,Female,High,Primary,1,9.076923076923077,1.2,5.65,0.14285714285714285
177,10,84,3,9.3,Public,Rural,No,Yes,High,Medium,3220,18,Female,Medium,Tertiary,1,17.7,2.1999999999999997,5.2,0.0970873786407767
141,19,96,3,14.3,Public,Rural,No,Yes,Low,Medium,161,16,Female,Low,,1,7.421052631578948,2.1999999999999997,4.8,0.06535947712418301
197,16,72,2,7.3,Public,Rural,No,Yes,Low,Medium,1374,17,Male,Low,,1,12.3125,1.6,3.6,0.12048192771084336
161,32,99,2,11.9,Public,Urban,No,No,High,High,74,18,Female,Medium,Tertiary,2,5.03125,1.2,5.95,0.07751937984496124
118,0,53,2,8.6,Public,Rural,No,Yes,Medium,High,2093,22,Female,High,Secondary,1,1180.0,1.6,2.65,0.10416666666666667
176,18,73,2,8.5,Public,Urban,Yes,Yes,Low,Low,4219,20,Female,High,Secondary,2,9.777777777777779,1.6,4.65,0.10526315789473684
183,27,81,2,14.8,Public,Rural,No,Yes,Low,Medium,2794,19,Female,High,Secondary,3,6.777777777777778,1.6,4.05,0.06329113924050632
200,27,78,2,13.6,Public,Urban,Yes,Yes,High,High,2923,16,Female,Medium,Tertiary,2,7.407407407407407,1.6,5.9,0.0684931506849315
109,6,77,1,4.7,Public,Urban,Yes,No,Medium,Medium,2486,20,Female,Medium,Tertiary,1,18.166666666666668,0.6,4.85,0.17543859649122806
143,34,91,3,0.4,Private,Urban,No,Yes,Medium,Low,3027,22,Male,High,Tertiary,4,4.205882352941177,2.1999999999999997,4.55,0.7142857142857143
147,18,86,3,16.3,Public,Urban,Yes,Yes,Low,Low,3381,19,Female,Low,,1,8.166666666666666,2.1999999999999997,5.3,0.057803468208092484
196,19,77,2,3.6,Public,Urban,No,No,Medium,Medium,4553,17,Female,Medium,Primary,2,10.31578947368421,1.2,3.85,0.2173913043478261
134,6,89,3,16.7,Public,Rural,Yes,Yes,Low,Low,1537,20,Male,Medium,Secondary,1,22.333333333333332,2.1999999999999997,5.45,0.05649717514124294
202,38,74,3,7.5,Public,Urban,Yes,Yes,Medium,Low,3454,18,Male,Medium,,4,5.315789473684211,2.1999999999999997,4.7,0.11764705882352941
243,37,84,3,8.1,Public,Rural,Yes,Yes,High,Low,2147,20,Female,Low,,3,6.5675675675675675,2.1999999999999997,6.2,0.10989010989010989
196,24,95,2,11.3,Public,Urban,No,No,Medium,Medium,3711,20,Female,Medium,Secondary,2,8.166666666666666,1.2,4.75,0.08130081300813008
161,6,83,1,4.6,Public,Urban,No,Yes,Medium,Medium,4774,22,Male,High,Tertiary,2,26.833333333333332,1.0,4.15,0.17857142857142858
147,12,87,3,9.5,Public,Urban,Yes,No,Low,Medium,4503,16,Female,Medium,Tertiary,2,12.25,1.7999999999999998,5.35,0.09523809523809523
116,13,80,4,9.3,Public,Urban,Yes,No,Medium,Medium,1671,22,Female,Medium,Primary,2,8.923076923076923,2.4,5.0,0.0970873786407767
226,32,100,3,11.0,Public,Rural,No,Yes,High,High,303,16,Female,High,,2,7.0625,2.1999999999999997,6.0,0.08333333333333333
177,24,87,3,11.8,Public,Rural,No,No,Medium,Medium,2239,18,Female,Low,Primary,1,7.375,1.7999999999999998,4.35,0.078125
201,23,90,2,7.8,Private,Rural,No,Yes,Medium,Low,1438,22,Female,Low,Primary,1,8.73913043478261,1.6,4.5,0.11363636363636363
193,24,97,2,10.6,Public,Rural,No,No,High,High,2861,21,Male,Medium,Primary,1,8.041666666666666,1.2,5.85,0.08620689655172414
154,13,75,3,13.1,Private,Rural,No,No,Medium,Medium,1565,19,Female,Medium,Primary,1,11.846153846153847,1.7999999999999998,3.75,0.07092198581560284
160,32,64,1,2.3,Public,Rural,Yes,Yes,Medium,High,1982,15,Female,High,Secondary,3,5.0,1.0,4.2,0.30303030303030304
228,25,84,3,6.0,Private,Rural,No,No,Medium,Low,1695,15,Male,Low,,1,9.12,1.7999999999999998,4.2,0.14285714285714285
154,20,83,2,8.3,Public,Rural,Yes,Yes,Medium,Medium,3596,22,Male,Medium,Secondary,1,7.7,1.6,5.15,0.1075268817204301
158,15,83,2,4.2,Private,Rural,Yes,No,Medium,Low,3496,20,Female,Medium,Primary,3,10.533333333333333,1.2,5.15,0.1923076923076923
106,17,83,1,12.4,Public,Rural,No,Yes,Medium,Medium,3791,16,Female,Low,Primary,1,6.235294117647059,1.0,4.15,0.07462686567164178
116,10,82,1,6.5,Private,Rural,No,Yes,Low,Medium,1333,17,Female,Low,Secondary,1,11.6,1.0,4.1,0.13333333333333333
180,14,84,3,5.9,Public,Urban,No,Yes,Low,High,2963,17,Male,Low,Secondary,2,12.857142857142858,2.1999999999999997,4.2,0.14492753623188406
113,16,71,2,8.2,Public,Rural,No,Yes,Low,Medium,3288,16,Male,Low,,1,7.0625,1.6,3.55,0.10869565217391305
168,16,61,3,8.4,Public,Urban,Yes,Yes,Medium,Medium,4159,21,Female,Medium,Secondary,1,10.5,2.1999999999999997,4.05,0.10638297872340426
137,6,82,2,14.6,Public,Urban,Yes,No,Low,Low,346,15,Male,Low,,1,22.833333333333332,1.2,5.1,0.06410256410256411
206,6,100,1,13.9,Public,Rural,Yes,Yes,Medium,High,715,22,Male,Low,Secondary,1,34.333333333333336,1.0,6.0,0.06711409395973154
194,29,92,3,8.6,Public,Urban,Yes,No,Low,Low,1825,19,Female,Low,Primary,2,6.689655172413793,1.7999999999999998,5.6,0.10416666666666667
186,12,96,3,11.6,Public,Urban,No,No,Medium,Low,2953,15,Male,Medium,Primary,1,15.5,1.7999999999999998,4.8,0.07936507936507936
139,14,75,2,6.1,Public,Rural,No,No,High,Medium,1050,15,Male,Medium,Tertiary,1,9.928571428571429,1.2,4.75,0.14084507042253522
166,12,74,2,5.1,Public,Rural,No,Yes,Low,Low,3529,22,Male,Low,Primary,1,13.833333333333334,1.6,3.7,0.1639344262295082
197,11,85,4,9.5,Public,Urban,No,Yes,High,Low,3351,19,Male,High,Tertiary,1,17.90909090909091,2.8,5.25,0.09523809523809523
187,17,100,2,7.9,Public,Urban,Yes,Yes,High,Medium,2059,17,Female,Medium,Secondary,2,11.0,1.6,7.0,0.11235955056179775
149,19,72,2,8.4,Public,Urban,Yes,No,Low,Medium,4645,20,Male,Low,,1,7.842105263157895,1.2,4.6,0.10638297872340426
179,6,75,2,11.6,Public,Urban,Yes,Yes,Medium,Low,4066,19,Female,Medium,Secondary,1,29.833333333333332,1.6,4.75,0.07936507936507936
222,26,97,3,16.0,Public,Urban,No,No,Medium,Medium,4109,16,Male,Medium,Tertiary,4,8.538461538461538,1.7999999999999998,4.85,0.058823529411764705
186,23,86,2,6.0,Public,Rural,No,Yes,Medium,Medium,4597,21,Male,Medium,Secondary,2,8.08695652173913,1.6,4.3,0.14285714285714285
151,13,94,1,15.7,Private,Urban,Yes,No,Medium,High,3524,22,Male,Medium,Secondary,1,11.615384615384615,0.6,5.7,0.059880239520958084
185,15,87,2,2.2,Private,Rural,Yes,Yes,Medium,Medium,556,18,Female,Medium,Primary,1,12.333333333333334,1.6,5.35,0.3125
130,0,80,2,10.7,Public,Rural,Yes,Yes,Low,Medium,3539,16,Male,High,Tertiary,1,1300.0,1.6,5.0,0.08547008547008547
150,2,86,2,8.4,Private,Rural,Yes,No,Medium,Medium,348,19,Female,Medium,Tertiary,1,75.0,1.2,5.3,0.10638297872340426
142,20,78,3,5.9,Public,Urban,No,No,Low,Medium,4475,20,Female,Low,Primary,1,7.1,1.7999999999999998,3.9,0.14492753623188406
224,13,84,4,12.8,Public,Rural,No,Yes,High,Medium,4148,16,Male,Medium,Tertiary,1,17.23076923076923,2.8,5.2,0.07246376811594203
139,15,79,3,12.4,Public,Rural,No,Yes,Low,Low,1322,15,Female,Medium,Primary,2,9.266666666666667,2.1999999999999997,3.95,0.07462686567164178
132,12,74,3,5.0,Public,Rural,Yes,Yes,Medium,Low,217,22,Female,Low,,1,11.0,2.1999999999999997,4.7,0.16666666666666666
222,22,87,3,11.8,Public,Rural,Yes,Yes,Medium,High,3429,17,Male,Low,Tertiary,1,10.090909090909092,2.1999999999999997,5.35,0.078125
114,20,75,2,8.5,Private,Urban,Yes,No,Medium,Low,3876,22,Female,Low,,3,5.7,1.2,4.75,0.10526315789473684
107,39,93,3,7.2,Private,Rural,Yes,Yes,Low,Medium,607,15,Female,Low,,5,2.7435897435897436,2.1999999999999997,5.65,0.12195121951219513
141,13,87,2,5.3,Public,Rural,Yes,No,Medium,Low,3114,22,Male,Medium,,1,10.846153846153847,1.2,5.35,0.15873015873015872
198,24,78,4,6.6,Public,Urban,Yes,Yes,Medium,High,1497,16,Female,Medium,Secondary,3,8.25,2.8,4.9,0.13157894736842105
126,23,80,1,9.0,Private,Rural,Yes,No,Low,High,1285,16,Female,Low,,2,5.478260869565218,0.6,5.0,0.1
234,29,85,3,13.3,Private,Urban,Yes,Yes,Medium,Medium,142,16,Female,Medium,Secondary,2,8.068965517241379,2.1999999999999997,5.25,0.06993006993006992
184,26,94,2,16.4,Public,Rural,Yes,Yes,High,High,1250,19,Male,Low,Secondary,2,7.076923076923077,1.6,6.7,0.0574712643678161
193,19,83,2,13.1,Public,Rural,Yes,Yes,High,High,4650,18,Male,Low,Primary,1,10.157894736842104,1.6,6.15,0.07092198581560284
139,17,91,4,15.6,Public,Rural,No,Yes,High,Medium,2303,15,Male,Medium,Secondary,2,8.176470588235293,2.8,5.55,0.06024096385542168
142,18,84,2,2.1,Public,Urban,Yes,Yes,High,Low,3170,15,Male,Low,Primary,1,7.888888888888889,1.6,6.2,0.3225806451612903
160,19,92,4,7.0,Public,Urban,No,Yes,Low,Low,3375,17,Male,Low,,1,8.421052631578947,2.8,4.6,0.125
121,8,71,2,13.7,Public,Rural,Yes,No,Low,High,1346,15,Female,Medium,,1,15.125,1.2,4.55,0.06802721088435375
180,16,92,2,17.0,Public,Urban,No,No,Medium,Medium,2789,15,Female,High,Primary,2,11.25,1.2,4.6,0.05555555555555555
143,22,84,2,13.4,Private,Urban,Yes,Yes,Low,Low,2637,18,Female,Medium,Tertiary,1,6.5,1.6,5.2,0.06944444444444445
129,27,75,3,9.4,Public,Urban,No,Yes,Low,Medium,8,19,Female,Low,Tertiary,3,4.777777777777778,2.1999999999999997,3.75,0.09615384615384615
207,27,90,3,9.0,Private,Urban,No,Yes,Medium,Low,2024,16,Male,Low,Primary,2,7.666666666666667,2.1999999999999997,4.5,0.1
189,30,72,2,1.1,Public,Urban,No,Yes,Low,Low,4297,16,Female,High,Tertiary,1,6.3,1.6,3.6,0.47619047619047616
228,30,90,2,11.9,Public,Urban,Yes,Yes,High,Medium,2445,15,Female,Medium,Primary,3,7.6,1.6,6.5,0.07751937984496124
174,15,90,2,10.4,Private,Urban,Yes,No,Medium,Low,1685,21,Male,Low,Secondary,2,11.6,1.2,5.5,0.08771929824561403
196,25,100,3,7.0,Public,Urban,Yes,No,Medium,High,140,18,Male,High,Tertiary,1,7.84,1.7999999999999998,6.0,0.125
238,16,94,3,11.9,Public,Urban,Yes,Yes,Low,Medium,4411,19,Female,Medium,Primary,1,14.875,2.1999999999999997,5.7,0.07751937984496124
125,12,66,3,6.3,Private,Rural,No,Yes,Low,High,3581,16,Male,Medium,Secondary,1,10.416666666666666,2.1999999999999997,3.3,0.136986301369863
124,0,89,2,14.1,Public,Urban,No,Yes,High,Low,658,21,Female,Low,,1,1240.0,1.6,5.45,0.06622516556291391
114,10,98,2,13.7,Public,Rural,No,No,High,Low,3616,16,Male,Low,Secondary,1,11.4,1.2,5.9,0.06802721088435375
121,7,84,1,7.2,Public,Rural,Yes,Yes,Low,High,3488,17,Male,Low,Secondary,1,17.285714285714285,1.0,5.2,0.12195121951219513
191,39,86,3,0.8,Public,Rural,Yes,Yes,Medium,Medium,3783,15,Female,Low,,4,4.897435897435898,2.1999999999999997,5.3,0.5555555555555556
192,25,70,2,9.7,Public,Urban,No,Yes,High,Low,226,19,Female,Medium,Secondary,3,7.68,1.6,4.5,0.09345794392523366
136,19,85,2,15.6,Public,Rural,No,Yes,Medium,High,4992,18,Female,Medium,Primary,2,7.157894736842105,1.6,4.25,0.06024096385542168
159,24,72,2,2.5,Public,Rural,Yes,Yes,Low,Medium,4542,16,Female,High,Tertiary,2,6.625,1.6,4.6,0.2857142857142857
120,16,76,2,11.1,Public,Urban,Yes,No,Low,Low,4142,17,Male,High,Tertiary,2,7.5,1.2,4.8,0.08264462809917356
251,30,81,3,4.0,Public,Rural,Yes,No,Medium,Medium,3250,15,Male,Low,Tertiary,3,8.366666666666667,1.7999999999999998,5.05,0.2
238,40,99,5,12.5,Private,Rural,Yes,Yes,Medium,Medium,2056,20,Male,Low,Primary,2,5.95,3.4,5.95,0.07407407407407407
138,20,85,3,3.3,Public,Urban,No,No,Medium,Medium,3470,19,Male,Medium,Secondary,2,6.9,1.7999999999999998,4.25,0.23255813953488372
151,11,90,1,0.0,Public,Rural,No,No,Low,Medium,4518,15,Female,Medium,Secondary,1,13.727272727272727,0.6,4.5,1.0
190,24,92,4,0.7,Public,Urban,No,No,Medium,Medium,3608,19,Female,High,Tertiary,2,7.916666666666667,2.4,4.6,0.5882352941176471
184,5,87,3,11.1,Public,Rural,No,No,High,Medium,1278,19,Female,High,Secondary,1,36.8,1.7999999999999998,5.35,0.08264462809917356
229,26,72,1,6.8,Public,Rural,Yes,Yes,Medium,Medium,181,16,Female,Medium,Secondary,1,8.807692307692308,1.0,4.6,0.12820512820512822
216,19,80,5,9.0,Private,Rural,No,No,Medium,Medium,4393,20,Female,Medium,Primary,2,11.368421052631579,3.0,4.0,0.1
116,13,67,3,4.2,Public,Urban,No,Yes,Medium,Medium,3844,15,Female,Medium,Tertiary,1,8.923076923076923,2.1999999999999997,3.35,0.1923076923076923
130,18,76,2,20.0,Public,Rural,No,Yes,Medium,Low,2461,16,Female,High,Tertiary,4,7.222222222222222,1.6,3.8,0.047619047619047616
145,2,80,3,7.6,Private,Urban,Yes,Yes,Low,High,4886,22,Male,Low,,1,72.5,2.1999999999999997,5.0,0.11627906976744186
105,0,80,2,12.0,Public,Rural,Yes,Yes,Medium,Medium,2190,19,Female,Low,,1,1050.0,1.6,5.0,0.07692307692307693
246,21,75,3,2.9,Private,Rural,No,Yes,Low,Low,2428,21,Female,Low,Primary,2,11.714285714285714,2.1999999999999997,3.75,0.25641025641025644
205,22,88,4,14.0,Private,Urban,Yes,Yes,High,Medium,2904,20,Female,High,Secondary,2,9.318181818181818,2.8,6.4,0.06666666666666667
224,29,82,4,2.4,Private,Rural,Yes,Yes,Low,Low,1042,16,Female,Low,,2,7.724137931034483,2.8,5.1,0.29411764705882354
151,7,87,3,15.1,Private,Urban,Yes,Yes,Low,High,209,18,Female,High,Secondary,1,21.571428571428573,2.1999999999999997,5.35,0.06211180124223602
141,16,71,3,13.6,Public,Urban,Yes,Yes,Low,Medium,4939,22,Female,Low,,1,8.8125,2.1999999999999997,4.55,0.0684931506849315
